,relation
0,indicates
1,location_of
2,associated_with
3,result_of
4,isa
5,produces
6,measures
7,causes
8,complicates
9,affects
10,interacts_with
11,part_of
12,precedes
13,disrupts
14,manifestation_of
15,property_of
16,prevents
17,carries_out
18,process_of
19,evaluation_of
20,performs
21,issue_in
22,diagnoses
23,assesses_effect_of
24,occurs_in
25,treats
26,degree_of
27,uses
28,conceptually_related_to
29,ingredient_of
30,conceptual_part_of
31,contains
32,measurement_of
33,connected_to
34,adjacent_to
35,method_of
36,surrounds
37,interconnects
38,analyzes
39,exhibits
40,co-occurs_with
41,derivative_of
42,consists_of
43,manages
44,developmental_form_of
45,practices
