,relation
0,connected_to
1,occurs_in
2,process_of
3,disrupts
4,causes
5,result_of
6,part_of
7,affects
8,issue_in
9,isa
10,produces
11,location_of
12,interacts_with
13,complicates
14,performs
15,uses
16,assesses_effect_of
17,precedes
18,associated_with
19,degree_of
20,manifestation_of
21,treats
22,property_of
23,evaluation_of
24,co-occurs_with
25,measures
26,analyzes
27,diagnoses
28,manages
29,contains
30,exhibits
31,measurement_of
32,prevents
33,carries_out
34,adjacent_to
35,indicates
36,ingredient_of
37,conceptual_part_of
38,method_of
39,surrounds
40,interconnects
41,consists_of
42,practices
43,conceptually_related_to
44,developmental_form_of
45,derivative_of
