,relation
0,result_of
1,produces
2,precedes
3,location_of
4,part_of
5,degree_of
6,practices
7,issue_in
8,interacts_with
9,process_of
10,associated_with
11,causes
12,uses
13,measures
14,ingredient_of
15,performs
16,conceptual_part_of
17,affects
18,manifestation_of
19,contains
20,occurs_in
21,measurement_of
22,disrupts
23,isa
24,connected_to
25,treats
26,property_of
27,evaluation_of
28,indicates
29,complicates
30,carries_out
31,method_of
32,surrounds
33,interconnects
34,analyzes
35,diagnoses
36,exhibits
37,co-occurs_with
38,prevents
39,assesses_effect_of
40,manages
41,derivative_of
42,consists_of
43,developmental_form_of
44,conceptually_related_to
45,adjacent_to
