,relation
0,associated_with
1,produces
2,indicates
3,isa
4,affects
5,causes
6,result_of
7,complicates
8,part_of
9,interacts_with
10,disrupts
11,manages
12,process_of
13,issue_in
14,performs
15,manifestation_of
16,occurs_in
17,assesses_effect_of
18,evaluation_of
19,measures
20,location_of
21,analyzes
22,degree_of
23,prevents
24,measurement_of
25,treats
26,exhibits
27,precedes
28,uses
29,connected_to
30,diagnoses
31,carries_out
32,surrounds
33,property_of
34,conceptual_part_of
35,method_of
36,derivative_of
37,ingredient_of
38,co-occurs_with
39,contains
40,practices
41,consists_of
42,interconnects
43,conceptually_related_to
44,developmental_form_of
45,adjacent_to
