,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,location_of
7,part_of
8,causes
9,interacts_with
10,affects
11,result_of
12,contains
13,co-occurs_with
14,measurement_of
15,measures
16,indicates
17,issue_in
18,diagnoses
19,conceptual_part_of
20,complicates
21,evaluation_of
22,occurs_in
23,method_of
24,associated_with
25,degree_of
26,manifestation_of
27,precedes
28,ingredient_of
29,analyzes
30,carries_out
31,assesses_effect_of
32,derivative_of
33,manages
34,treats
35,uses
36,surrounds
37,prevents
38,adjacent_to
39,exhibits
40,practices
41,connected_to
42,developmental_form_of
43,consists_of
44,conceptually_related_to
45,interconnects
