,relation
0,affects
1,contains
2,issue_in
3,treats
4,uses
5,carries_out
6,indicates
7,isa
8,complicates
9,evaluation_of
10,associated_with
11,assesses_effect_of
12,degree_of
13,exhibits
14,result_of
15,measures
16,part_of
17,occurs_in
18,produces
19,location_of
20,derivative_of
21,developmental_form_of
22,interacts_with
23,co-occurs_with
24,causes
25,practices
26,manifestation_of
27,ingredient_of
28,conceptually_related_to
29,disrupts
30,method_of
31,precedes
32,prevents
33,adjacent_to
34,conceptual_part_of
35,analyzes
36,measurement_of
37,process_of
38,performs
39,surrounds
40,interconnects
41,diagnoses
42,property_of
43,manages
44,consists_of
45,connected_to
