,relation
0,causes
1,location_of
2,measures
3,affects
4,manifestation_of
5,co-occurs_with
6,isa
7,disrupts
8,produces
9,issue_in
10,associated_with
11,interacts_with
12,process_of
13,part_of
14,result_of
15,property_of
16,assesses_effect_of
17,uses
18,adjacent_to
19,evaluation_of
20,complicates
21,conceptually_related_to
22,manages
23,ingredient_of
24,exhibits
25,conceptual_part_of
26,indicates
27,consists_of
28,diagnoses
29,surrounds
30,occurs_in
31,analyzes
32,performs
33,carries_out
34,measurement_of
35,prevents
36,connected_to
37,precedes
38,treats
39,contains
40,degree_of
41,method_of
42,practices
43,developmental_form_of
44,interconnects
45,derivative_of
