,relation
0,location_of
1,issue_in
2,property_of
3,carries_out
4,part_of
5,complicates
6,produces
7,affects
8,measures
9,evaluation_of
10,result_of
11,performs
12,process_of
13,isa
14,causes
15,disrupts
16,interacts_with
17,manifestation_of
18,occurs_in
19,associated_with
20,diagnoses
21,adjacent_to
22,precedes
23,indicates
24,prevents
25,assesses_effect_of
26,treats
27,degree_of
28,uses
29,ingredient_of
30,conceptual_part_of
31,contains
32,measurement_of
33,connected_to
34,method_of
35,surrounds
36,interconnects
37,analyzes
38,exhibits
39,co-occurs_with
40,conceptually_related_to
41,manages
42,consists_of
43,developmental_form_of
44,derivative_of
45,practices
