,relation
0,complicates
1,associated_with
2,manifestation_of
3,isa
4,consists_of
5,affects
6,process_of
7,disrupts
8,performs
9,result_of
10,occurs_in
11,produces
12,connected_to
13,adjacent_to
14,causes
15,location_of
16,co-occurs_with
17,degree_of
18,exhibits
19,issue_in
20,interacts_with
21,prevents
22,evaluation_of
23,diagnoses
24,part_of
25,indicates
26,uses
27,measures
28,precedes
29,carries_out
30,measurement_of
31,treats
32,assesses_effect_of
33,analyzes
34,ingredient_of
35,property_of
36,method_of
37,manages
38,surrounds
39,contains
40,derivative_of
41,conceptual_part_of
42,interconnects
43,conceptually_related_to
44,practices
45,developmental_form_of
