,relation
0,affects
1,produces
2,process_of
3,issue_in
4,assesses_effect_of
5,interacts_with
6,result_of
7,indicates
8,carries_out
9,complicates
10,precedes
11,measures
12,prevents
13,performs
14,co-occurs_with
15,associated_with
16,manifestation_of
17,location_of
18,disrupts
19,isa
20,ingredient_of
21,causes
22,contains
23,degree_of
24,part_of
25,uses
26,evaluation_of
27,measurement_of
28,diagnoses
29,property_of
30,treats
31,method_of
32,connected_to
33,conceptual_part_of
34,occurs_in
35,interconnects
36,manages
37,surrounds
38,consists_of
39,exhibits
40,derivative_of
41,conceptually_related_to
42,analyzes
43,developmental_form_of
44,practices
45,adjacent_to
