,relation
0,interacts_with
1,result_of
2,causes
3,occurs_in
4,location_of
5,property_of
6,affects
7,assesses_effect_of
8,performs
9,part_of
10,uses
11,process_of
12,produces
13,isa
14,issue_in
15,co-occurs_with
16,manifestation_of
17,complicates
18,precedes
19,measurement_of
20,analyzes
21,associated_with
22,diagnoses
23,disrupts
24,evaluation_of
25,measures
26,method_of
27,surrounds
28,ingredient_of
29,consists_of
30,contains
31,treats
32,prevents
33,manages
34,exhibits
35,developmental_form_of
36,indicates
37,conceptual_part_of
38,carries_out
39,degree_of
40,interconnects
41,connected_to
42,adjacent_to
43,conceptually_related_to
44,practices
45,derivative_of
