,relation
0,process_of
1,produces
2,interacts_with
3,affects
4,part_of
5,occurs_in
6,indicates
7,associated_with
8,result_of
9,precedes
10,isa
11,location_of
12,causes
13,developmental_form_of
14,measurement_of
15,method_of
16,prevents
17,measures
18,performs
19,carries_out
20,evaluation_of
21,adjacent_to
22,disrupts
23,uses
24,interconnects
25,property_of
26,issue_in
27,manifestation_of
28,exhibits
29,ingredient_of
30,co-occurs_with
31,degree_of
32,complicates
33,analyzes
34,conceptually_related_to
35,assesses_effect_of
36,diagnoses
37,consists_of
38,conceptual_part_of
39,treats
40,surrounds
41,connected_to
42,derivative_of
43,contains
44,practices
45,manages
