,relation
0,adjacent_to
1,adjacent_to_inverse
2,affects
3,affects_inverse
4,analyzes
5,analyzes_inverse
6,assesses_effect_of
7,assesses_effect_of_inverse
8,associated_with
9,associated_with_inverse
10,carries_out
11,carries_out_inverse
12,carries_out_inverse_inverse
13,causes
14,causes_inverse
15,co-occurs_with
16,co-occurs_with_inverse
17,complicates
18,complicates_inverse
19,conceptual_part_of
20,conceptual_part_of_inverse
21,conceptually_related_to
22,conceptually_related_to_inverse
23,connected_to
24,connected_to_inverse
25,consists_of
26,consists_of_inverse
27,contains
28,contains_inverse
29,degree_of
30,degree_of_inverse
31,derivative_of
32,derivative_of_inverse
33,developmental_form_of
34,developmental_form_of_inverse
35,diagnoses
36,diagnoses_inverse
37,disrupts
38,disrupts_inverse
39,evaluation_of
40,evaluation_of_inverse
41,exhibits
42,exhibits_inverse
43,indicates
44,indicates_inverse
45,ingredient_of
46,ingredient_of_inverse
47,interacts_with
48,interacts_with_inverse
49,interconnects
50,interconnects_inverse
51,isa
52,isa_inverse
53,issue_in
54,issue_in_inverse
55,location_of
56,location_of_inverse
57,manages
58,manages_inverse
59,manifestation_of
60,manifestation_of_inverse
61,measurement_of
62,measurement_of_inverse
63,measures
64,measures_inverse
65,method_of
66,method_of_inverse
67,occurs_in
68,occurs_in_inverse
69,part_of
70,part_of_inverse
71,performs
72,performs_inverse
73,practices
74,practices_inverse
75,precedes
76,precedes_inverse
77,prevents
78,prevents_inverse
79,process_of
80,process_of_inverse
81,produces
82,produces_inverse
83,property_of
84,property_of_inverse
85,result_of
86,result_of_inverse
87,surrounds
88,surrounds_inverse
89,treats
90,treats_inverse
91,uses
92,uses_inverse
