,relation
0,interacts_with
1,consists_of
2,location_of
3,measurement_of
4,produces
5,conceptually_related_to
6,result_of
7,evaluation_of
8,manifestation_of
9,part_of
10,isa
11,indicates
12,measures
13,developmental_form_of
14,affects
15,process_of
16,disrupts
17,carries_out
18,ingredient_of
19,treats
20,issue_in
21,complicates
22,adjacent_to
23,conceptual_part_of
24,contains
25,degree_of
26,precedes
27,associated_with
28,uses
29,practices
30,causes
31,property_of
32,interconnects
33,co-occurs_with
34,assesses_effect_of
35,connected_to
36,prevents
37,derivative_of
38,occurs_in
39,exhibits
40,surrounds
41,manages
42,method_of
43,diagnoses
44,performs
45,analyzes
