,relation
0,affects
1,produces
2,process_of
3,issue_in
4,assesses_effect_of
5,interacts_with
6,result_of
7,part_of
8,carries_out
9,complicates
10,precedes
11,prevents
12,performs
13,co-occurs_with
14,associated_with
15,measures
16,manifestation_of
17,location_of
18,disrupts
19,indicates
20,surrounds
21,isa
22,ingredient_of
23,causes
24,contains
25,degree_of
26,consists_of
27,uses
28,interconnects
29,evaluation_of
30,measurement_of
31,diagnoses
32,property_of
33,connected_to
34,treats
35,method_of
36,conceptual_part_of
37,occurs_in
38,analyzes
39,adjacent_to
40,developmental_form_of
41,manages
42,exhibits
43,practices
44,conceptually_related_to
45,derivative_of
