,entity
0,biologic_function
1,pathologic_function
2,carbohydrate
3,activity
4,cell_component
5,enzyme
6,lipid
7,reptile
8,therapeutic_or_preventive_procedure
9,neuroreactive_substance_or_biogenic_amine
10,experimental_model_of_disease
11,antibiotic
12,professional_or_occupational_group
13,qualitative_concept
14,sign_or_symptom
15,research_activity
16,laboratory_or_test_result
17,steroid
18,tissue
19,body_part_organ_or_organ_component
20,organic_chemical
21,disease_or_syndrome
22,organism_function
23,receptor
24,chemical_viewed_structurally
25,finding
26,organ_or_tissue_function
27,embryonic_structure
28,family_group
29,natural_phenomenon_or_process
30,anatomical_abnormality
31,mental_process
32,cell_or_molecular_dysfunction
33,virus
34,clinical_attribute
35,conceptual_entity
36,patient_or_disabled_group
37,molecular_biology_research_technique
38,molecular_function
39,genetic_function
40,cell_function
41,fully_formed_anatomical_structure
42,cell
43,immunologic_factor
44,organophosphorus_compound
45,amino_acid_peptide_or_protein
46,chemical_viewed_functionally
47,social_behavior
48,group
49,individual_behavior
50,inorganic_chemical
51,phenomenon_or_process
52,physiologic_function
53,biomedical_or_dental_material
54,rickettsia_or_chlamydia
55,regulation_or_law
56,amphibian
57,biologically_active_substance
58,organism_attribute
59,laboratory_procedure
60,diagnostic_procedure
61,acquired_abnormality
62,pharmacologic_substance
63,medical_device
64,nucleic_acid_nucleoside_or_nucleotide
65,mental_or_behavioral_dysfunction
66,vitamin
67,body_substance
68,occupation_or_discipline
69,food
70,health_care_activity
71,neoplastic_process
72,injury_or_poisoning
73,fungus
74,human
75,hormone
76,hazardous_or_poisonous_substance
77,bacterium
78,invertebrate
79,vertebrate
80,congenital_abnormality
81,plant
82,population_group
83,eicosanoid
84,anatomical_structure
85,governmental_or_regulatory_activity
86,organism
87,age_group
88,health_care_related_organization
89,body_system
90,indicator_reagent_or_diagnostic_aid
91,drug_delivery_device
92,mammal
93,manufactured_object
94,element_ion_or_isotope
95,geographic_area
96,body_location_or_region
97,clinical_drug
98,temporal_concept
99,body_space_or_junction
100,alga
101,gene_or_genome
102,professional_society
103,idea_or_concept
104,organization
105,self_help_or_relief_organization
106,bird
107,research_device
108,quantitative_concept
109,substance
110,behavior
111,nucleotide_sequence
112,chemical
113,fish
114,group_attribute
115,human_caused_phenomenon_or_process
116,spatial_concept
117,classification
118,environmental_effect_of_humans
119,language
120,molecular_sequence
121,physical_object
122,educational_activity
123,animal
124,machine_activity
125,archaeon
126,carbohydrate_sequence
127,intellectual_product
128,amino_acid_sequence
129,occupational_activity
130,entity
131,functional_concept
132,daily_or_recreational_activity
133,event
134,biomedical_occupation_or_discipline
