,relation
0,produces
1,manifestation_of
2,isa
3,interacts_with
4,issue_in
5,location_of
6,process_of
7,affects
8,complicates
9,prevents
10,manages
11,evaluation_of
12,associated_with
13,measures
14,developmental_form_of
15,disrupts
16,performs
17,part_of
18,causes
19,result_of
20,occurs_in
21,precedes
22,uses
23,ingredient_of
24,diagnoses
25,surrounds
26,method_of
27,assesses_effect_of
28,consists_of
29,exhibits
30,degree_of
31,interconnects
32,connected_to
33,treats
34,co-occurs_with
35,analyzes
36,carries_out
37,contains
38,indicates
39,adjacent_to
40,measurement_of
41,conceptual_part_of
42,property_of
43,derivative_of
44,conceptually_related_to
45,practices
