,relation
0,process_of
1,affects
2,produces
3,part_of
4,contains
5,result_of
6,issue_in
7,isa
8,complicates
9,interacts_with
10,location_of
11,manifestation_of
12,disrupts
13,precedes
14,associated_with
15,causes
16,occurs_in
17,evaluation_of
18,property_of
19,performs
20,exhibits
21,method_of
22,co-occurs_with
23,measurement_of
24,assesses_effect_of
25,diagnoses
26,degree_of
27,ingredient_of
28,measures
29,manages
30,prevents
31,carries_out
32,adjacent_to
33,indicates
34,treats
35,uses
36,conceptual_part_of
37,connected_to
38,surrounds
39,interconnects
40,analyzes
41,derivative_of
42,consists_of
43,practices
44,developmental_form_of
45,conceptually_related_to
