,relation
0,carries_out
1,part_of
2,complicates
3,produces
4,affects
5,measures
6,evaluation_of
7,result_of
8,property_of
9,performs
10,process_of
11,isa
12,causes
13,disrupts
14,interacts_with
15,issue_in
16,manifestation_of
17,occurs_in
18,associated_with
19,diagnoses
20,adjacent_to
21,uses
22,precedes
23,location_of
24,indicates
25,manages
26,prevents
27,assesses_effect_of
28,treats
29,degree_of
30,ingredient_of
31,conceptual_part_of
32,contains
33,measurement_of
34,connected_to
35,method_of
36,surrounds
37,interconnects
38,analyzes
39,exhibits
40,co-occurs_with
41,consists_of
42,conceptually_related_to
43,practices
44,developmental_form_of
45,derivative_of
