,relation
0,isa
1,issue_in
2,associated_with
3,causes
4,process_of
5,affects
6,produces
7,part_of
8,contains
9,result_of
10,complicates
11,interacts_with
12,location_of
13,manifestation_of
14,disrupts
15,precedes
16,occurs_in
17,evaluation_of
18,property_of
19,performs
20,exhibits
21,method_of
22,co-occurs_with
23,measurement_of
24,assesses_effect_of
25,diagnoses
26,degree_of
27,carries_out
28,measures
29,manages
30,prevents
31,adjacent_to
32,indicates
33,treats
34,uses
35,ingredient_of
36,conceptual_part_of
37,connected_to
38,developmental_form_of
39,surrounds
40,interconnects
41,analyzes
42,consists_of
43,conceptually_related_to
44,derivative_of
45,practices
