,relation
0,indicates
1,location_of
2,associated_with
3,result_of
4,isa
5,produces
6,measures
7,causes
8,complicates
9,affects
10,interacts_with
11,part_of
12,precedes
13,disrupts
14,manifestation_of
15,property_of
16,prevents
17,carries_out
18,process_of
19,evaluation_of
20,performs
21,issue_in
22,diagnoses
23,assesses_effect_of
24,occurs_in
25,treats
26,degree_of
27,uses
28,ingredient_of
29,conceptual_part_of
30,contains
31,measurement_of
32,connected_to
33,method_of
34,surrounds
35,interconnects
36,analyzes
37,exhibits
38,co-occurs_with
39,manages
40,adjacent_to
41,conceptually_related_to
42,consists_of
43,developmental_form_of
44,derivative_of
45,practices
