<http://localhost/foo> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#Ontology> .
<http://www.w3.org/2002/07/owl#Nothing> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#Class> .
_:1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#Class> .
<http://localhost/foo#male> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#Class> .
<http://localhost/foo#female> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#Class> .
_:2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#first> <http://localhost/foo#male> .
_:2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#rest> _:3 .
_:3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#first> <http://localhost/foo#female> .
_:3 <http://www.w3.org/1999/02/22-rdf-syntax-ns#rest> <http://www.w3.org/1999/02/22-rdf-syntax-ns#nil> .
_:1 <http://www.w3.org/2002/07/owl#intersectionOf> _:2 .
<http://www.w3.org/2002/07/owl#Nothing> <http://www.w3.org/2002/07/owl#equivalentClass> _:1 .
<http://localhost/foo#married> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#ObjectProperty> .
<http://localhost/foo#married> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#SymmetricProperty> .
<http://localhost/foo#married> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#FunctionalProperty> .
<http://localhost/foo#sibling> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#ObjectProperty> .
<http://localhost/foo#sibling> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/2002/07/owl#SymmetricProperty> .
<http://localhost/foo#alfred> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://localhost/foo#male> .
<http://localhost/foo#alfred> <http://localhost/foo#parent> <http://localhost/foo#david> .
<http://localhost/foo#alfred> <http://localhost/foo#parent> <http://localhost/foo#elisa> .
<http://localhost/foo#alice> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://localhost/foo#female> .
<http://localhost/foo#alice> <http://localhost/foo#married> <http://localhost/foo#art> .
<http://localhost/foo#alice> <http://localhost/foo#parent> <http://localhost/foo#f14> .
<http://localhost/foo#alice> <http://localhost/foo#parent> <http://localhost/foo#m13> .
<http://localhost/foo#alice> <http://localhost/foo#parent> <http://localhost/foo#m15> .
<http://localhost/foo#angela> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://localhost/foo#female> .
<http://localhost/foo#angela> <http://localhost/foo#sibling> <http://localhost/foo#ray> .
<http://localhost/foo#ann> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://localhost/foo#female> .
<http://localhost/foo#ann> <http://localhost/foo#married> <http://localhost/foo#alfred> .
<http://localhost/foo#ann> <http://localhost/foo#parent> <http://localhost/foo#david> .
<http://localhost/foo#ann> <http://localhost/foo#parent> <http://localhost/foo#elisa> .
<http://localhost/foo#art> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://localhost/foo#male> .
<http://localhost/foo#art> <http://localhost/foo#parent> <http://localhost/foo#f14> .
<http://localhost/foo#art> <http://localhost/foo#parent> <http://localhost/foo#m13> .
<http://localhost/foo#art> <http://localhost/foo#parent> <http://localhost/foo#m15> .
<http://localhost/foo#art> <http://localhost/foo#sibling> <http://localhost/foo#umo> .
<http://localhost/foo#art> <http://localhost/foo#sibling> <http://localhost/foo#wendy> .
<http://localhost/foo#beatrice> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://localhost/foo#female> .
<http://localhost/foo#beatrice> <http://localhost/foo#married> <http://localhost/foo#bob> .
<http://localhost/foo#beatrice> <http://localhost/foo#parent> <http://localhost/foo#eric> .
<http://localhost/foo#beatrice> <http://localhost/foo#parent> <http://localhost/foo#fannie> .
<http://localhost/foo#beatrice> <http://localhost/foo#parent> <http://localhost/foo#gail> .
<http://localhost/foo#beatrice> <http://localhost/foo#parent> <http://localhost/foo#harry> .
<http://localhost/foo#bob> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://localhost/foo#male> .
<http://localhost/foo#bob> <http://localhost/foo#parent> <http://localhost/foo#eric> .
<http://localhost/foo#bob> <http://localhost/foo#parent> <http://localhost/foo#fannie> .
<http://localhost/foo#bob> <http://localhost/foo#parent> <http://localhost/foo#gail> .
<http://localhost/foo#bob> <http://localhost/foo#parent> <http://localhost/foo#harry> .
<http://localhost/foo#callie> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://localhost/foo#female> .
<http://localhost/foo#callie> <http://localhost/foo#married> <http://localhost/foo#carl> .
<http://localhost/foo#callie> <http://localhost/foo#parent> <http://localhost/foo#karl> .
<http://localhost/foo#callie> <http://localhost/foo#parent> <http://localhost/foo#lorrie> .
<http://localhost/foo#callie> <http://localhost/foo#parent> <http://localhost/foo#mark> .
<http://localhost/foo#calvin> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://localhost/foo#male> .
<http://localhost/foo#calvin> <http://localhost/foo#sibling> <http://localhost/foo#christy> .
<http://localhost/foo#calvin> <http://localhost/foo#sibling> <http://localhost/foo#jack> .
<http://localhost/foo#carl> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://localhost/foo#male> .
