,relation
0,causes
1,manifestation_of
2,complicates
3,issue_in
4,isa
5,measures
6,indicates
7,exhibits
8,interacts_with
9,affects
10,location_of
11,process_of
12,produces
13,disrupts
14,result_of
15,surrounds
16,performs
17,associated_with
18,property_of
19,part_of
20,occurs_in
21,precedes
22,assesses_effect_of
23,analyzes
24,evaluation_of
25,carries_out
26,treats
27,co-occurs_with
28,degree_of
29,diagnoses
30,uses
31,interconnects
32,method_of
33,prevents
34,measurement_of
35,conceptual_part_of
36,consists_of
37,adjacent_to
38,ingredient_of
39,manages
40,developmental_form_of
41,derivative_of
42,connected_to
43,contains
44,conceptually_related_to
45,practices
