,relation
0,issue_in
1,location_of
2,interacts_with
3,result_of
4,produces
5,precedes
6,part_of
7,degree_of
8,measures
9,process_of
10,associated_with
11,causes
12,uses
13,ingredient_of
14,performs
15,conceptual_part_of
16,affects
17,manifestation_of
18,contains
19,occurs_in
20,measurement_of
21,disrupts
22,isa
23,connected_to
24,treats
25,property_of
26,evaluation_of
27,adjacent_to
28,complicates
29,carries_out
30,method_of
31,surrounds
32,interconnects
33,analyzes
34,practices
35,diagnoses
36,exhibits
37,co-occurs_with
38,prevents
39,assesses_effect_of
40,indicates
41,consists_of
42,manages
43,developmental_form_of
44,derivative_of
45,conceptually_related_to
