,relation
0,issue_in
1,affects
2,causes
3,location_of
4,associated_with
5,performs
6,complicates
7,interacts_with
8,process_of
9,property_of
10,degree_of
11,isa
12,result_of
13,measures
14,disrupts
15,part_of
16,manages
17,surrounds
18,co-occurs_with
19,prevents
20,carries_out
21,produces
22,evaluation_of
23,manifestation_of
24,occurs_in
25,diagnoses
26,adjacent_to
27,precedes
28,indicates
29,exhibits
30,assesses_effect_of
31,treats
32,uses
33,ingredient_of
34,conceptual_part_of
35,contains
36,measurement_of
37,connected_to
38,consists_of
39,method_of
40,interconnects
41,analyzes
42,derivative_of
43,conceptually_related_to
44,developmental_form_of
45,practices
