,relation
0,indicates
1,location_of
2,associated_with
3,result_of
4,isa
5,produces
6,measures
7,causes
8,complicates
9,affects
10,interacts_with
11,part_of
12,precedes
13,disrupts
14,manifestation_of
15,property_of
16,prevents
17,evaluation_of
18,carries_out
19,process_of
20,performs
21,issue_in
22,diagnoses
23,assesses_effect_of
24,occurs_in
25,treats
26,co-occurs_with
27,degree_of
28,uses
29,ingredient_of
30,conceptual_part_of
31,contains
32,developmental_form_of
33,measurement_of
34,connected_to
35,conceptually_related_to
36,method_of
37,surrounds
38,interconnects
39,analyzes
40,exhibits
41,practices
42,manages
43,adjacent_to
44,consists_of
45,derivative_of
