,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,location_of
7,part_of
8,causes
9,affects
10,interacts_with
11,result_of
12,contains
13,co-occurs_with
14,measurement_of
15,measures
16,indicates
17,issue_in
18,diagnoses
19,conceptual_part_of
20,complicates
21,evaluation_of
22,occurs_in
23,method_of
24,associated_with
25,degree_of
26,precedes
27,ingredient_of
28,manifestation_of
29,analyzes
30,carries_out
31,assesses_effect_of
32,uses
33,surrounds
34,prevents
35,exhibits
36,practices
37,connected_to
38,treats
39,developmental_form_of
40,manages
41,adjacent_to
42,derivative_of
43,consists_of
44,conceptually_related_to
45,interconnects
