,relation
0,process_of
1,affects
2,causes
3,manifestation_of
4,complicates
5,issue_in
6,isa
7,measures
8,indicates
9,exhibits
10,interacts_with
11,location_of
12,produces
13,disrupts
14,result_of
15,surrounds
16,performs
17,associated_with
18,property_of
19,part_of
20,occurs_in
21,precedes
22,assesses_effect_of
23,analyzes
24,evaluation_of
25,carries_out
26,treats
27,co-occurs_with
28,connected_to
29,degree_of
30,diagnoses
31,uses
32,interconnects
33,method_of
34,prevents
35,measurement_of
36,conceptual_part_of
37,ingredient_of
38,consists_of
39,adjacent_to
40,manages
41,developmental_form_of
42,derivative_of
43,contains
44,conceptually_related_to
45,practices
