,relation
0,carries_out
1,part_of
2,complicates
3,produces
4,affects
5,measures
6,evaluation_of
7,result_of
8,property_of
9,performs
10,process_of
11,isa
12,causes
13,disrupts
14,interacts_with
15,issue_in
16,manifestation_of
17,occurs_in
18,associated_with
19,diagnoses
20,adjacent_to
21,treats
22,precedes
23,location_of
24,indicates
25,prevents
26,ingredient_of
27,connected_to
28,assesses_effect_of
29,degree_of
30,uses
31,conceptual_part_of
32,contains
33,measurement_of
34,method_of
35,surrounds
36,interconnects
37,analyzes
38,exhibits
39,co-occurs_with
40,developmental_form_of
41,manages
42,derivative_of
43,consists_of
44,conceptually_related_to
45,practices
