,relation
0,process_of
1,causes
2,interacts_with
3,affects
4,result_of
5,complicates
6,precedes
7,property_of
8,location_of
9,produces
10,performs
11,disrupts
12,exhibits
13,method_of
14,isa
15,associated_with
16,part_of
17,co-occurs_with
18,occurs_in
19,prevents
20,evaluation_of
21,manifestation_of
22,measurement_of
23,issue_in
24,assesses_effect_of
25,diagnoses
26,degree_of
27,measures
28,manages
29,treats
30,carries_out
31,adjacent_to
32,indicates
33,uses
34,analyzes
35,ingredient_of
36,conceptual_part_of
37,contains
38,connected_to
39,surrounds
40,interconnects
41,consists_of
42,conceptually_related_to
43,developmental_form_of
44,practices
45,derivative_of
