,relation
0,measures
1,associated_with
2,interacts_with
3,analyzes
4,evaluation_of
5,affects
6,performs
7,result_of
8,isa
9,degree_of
10,location_of
11,prevents
12,process_of
13,occurs_in
14,diagnoses
15,causes
16,manifestation_of
17,produces
18,derivative_of
19,part_of
20,issue_in
21,complicates
22,connected_to
23,disrupts
24,uses
25,assesses_effect_of
26,precedes
27,treats
28,property_of
29,co-occurs_with
30,manages
31,contains
32,exhibits
33,measurement_of
34,carries_out
35,adjacent_to
36,indicates
37,method_of
38,ingredient_of
39,conceptual_part_of
40,surrounds
41,interconnects
42,practices
43,consists_of
44,developmental_form_of
45,conceptually_related_to
