relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
location_of,0.0316525138914585,-0.0010241647250950,0.6808158159255981,-0.3877165615558624,-0.6849336624145508,-0.3214159309864044,0.0198145564645529,0.0910168290138245,0.2001252770423889,-1.0510175228118896,-0.0118495011702180,0.0153124397620559,-0.0790166482329369,-0.0212702564895153,-0.0070148096419871,0.0068176160566509,0.3487427532672882,0.3079451024532318,-0.0869591236114502,0.0556471534073353,0.0151151427999139,0.1085792407393456,-0.1578566282987595,0.1518422663211823,0.0171395037323236,-0.0715939253568649,0.2413373738527298,-0.3601054549217224,-0.0035168800968677,0.0053221965208650,0.1337403655052185,-0.0115451961755753,0.0898963809013367,0.1086828857660294,0.5993499755859375,0.3929019570350647,-0.0017889490118250,0.0118732918053865,-0.0920558646321297,-0.0424537807703018,-0.8951255679130554,-0.2448026537895203,0.0356031842529774,0.0099844960495830,0.0366741046309471,-0.0134153319522738,0.0039755268953741,0.0040397900156677,-0.0186404008418322,-0.0013857129961252,-0.1446026712656021,-0.3968632221221924,-0.0160993635654449,0.0049620950594544,0.0104892021045089,0.0819743499159813,0.0265613254159689,0.0320854038000107,0.0254409983754158,-0.0189968161284924,0.0112282242625952,0.0287631116807461,0.1982361972332001,-0.0152395954355597
manifestation_of,-0.2138291001319885,0.0298922080546618,0.8410917520523071,0.1334369778633118,-0.1415777355432510,-0.0573300346732140,-0.1771569550037384,-0.0064079612493515,0.6951026916503906,0.4419731199741364,-0.1673664152622223,0.0117796286940575,-0.1862623840570450,-0.0434027612209320,-0.0151810534298420,-0.0237528644502163,0.0623333230614662,0.0288126710802317,0.0588230527937412,0.0031355842947960,-0.1047054901719093,0.0490652956068516,-0.1483752280473709,-0.0766585245728493,-0.0616505891084671,0.0711141005158424,0.1412393003702164,0.2205187976360321,0.1710890531539917,-0.0291213300079107,0.0297182090580463,-0.0034168574493378,-0.0098942583426833,0.0518829934298992,-0.1322080940008163,0.1096783131361008,-0.2082233726978302,-0.0333502665162086,0.0088286744430661,-0.0137031180784106,0.2665243148803711,1.5240808725357056,-0.0461095869541168,-0.0085053928196430,-0.4985539317131042,-0.1134327724575996,-0.0942968204617500,0.0182748176157475,0.0244494974613190,0.1387980580329895,-0.1165932118892670,0.0601575486361980,-0.1363010555505753,0.0151400938630104,-0.2244666814804077,0.0442443005740643,-0.0453983321785927,-0.0688216164708138,-0.1307835429906845,0.0119322799146175,-0.1519048213958740,0.0230125170201063,-0.3505284786224365,0.0145817901939154
isa,0.0216246694326401,0.0120019065216184,0.5033963322639465,1.8252401351928711,0.0214007608592510,0.0013433158164844,-0.0057117338292301,-0.0070654768496752,0.7455334067344666,0.0657635405659676,-0.0041130185127258,-0.0212464947253466,-0.1377286911010742,0.0085390117019415,0.0171520560979843,0.0912779644131660,-0.0514096915721893,-0.1117650419473648,-0.0517379082739353,0.0199053194373846,-0.0061866166070104,0.0011041006073356,-0.0089191561564803,-0.0027455638628453,-0.0090147284790874,-0.0423054806888103,0.3992435038089752,0.0158121716231108,0.0006767165032215,0.0091573148965836,0.0008116509416141,0.0356035754084587,-0.0026637071277946,0.0204722695052624,0.0660522282123566,0.1514675021171570,-0.0405191034078598,0.0266189165413380,-0.0603855401277542,-0.0067858793772757,1.0064983367919922,0.0491190403699875,-0.0041917711496353,0.0214591845870018,0.5966893434524536,-0.0129305040463805,0.0003824568411801,-0.0143110528588295,0.3156481683254242,-0.0474817119538784,0.0046152616851032,-0.0282614994794130,0.1887702196836472,0.0238881669938564,0.0002630287781358,0.0100050345063210,0.0053204465657473,-0.0228006057441235,-0.0065679680556059,0.0240001082420349,-0.0270591024309397,-0.0177796911448240,0.0722970664501190,0.0580777972936630
affects,-0.1306890249252319,-0.0324362516403198,0.9341272711753845,-0.1069890782237053,0.0058185802772641,0.0058733061887324,0.0239995270967484,0.0025386495981365,-0.2906272113323212,-0.4853134453296661,-0.0382963046431541,-0.0086829587817192,-0.0038890356663615,-0.0147694889456034,-0.0587373934686184,0.0270784925669432,-0.0044718380086124,-0.2009554207324982,-0.0270514898002148,0.0437141880393028,-0.0059433681890368,0.0008930666372180,-0.0005791987641715,-0.0067243506200612,-0.0018190813716501,0.0003333433123771,0.9244649410247803,0.1112840622663498,-0.0088627142831683,-0.0010750120272860,0.0017139111878350,0.0127076599746943,-0.0099903298541903,-0.0100845983251929,-0.0080245835706592,-0.0091386800631881,0.0018529648659751,0.0006454836693592,0.0333058498799801,-0.0005625095218420,0.6114569306373596,-0.0193198714405298,-0.0019774374086410,-0.0013413970591500,-0.0000141874706969,-0.0005547715118155,-0.0043439203873277,0.0089135719463229,-0.0121631370857358,0.0151963671669364,-0.3566648960113525,0.2445173710584641,-0.0050110211595893,0.0057687480002642,-0.0077512324787676,0.0044721984304488,-0.0052145658992231,-0.0005742285866290,-0.0016650422476232,0.0015546514187008,-0.0016689669573680,0.0058413059450686,-0.0240645594894886,-0.0004950138973072
associated_with,0.0958438143134117,-0.1330350637435913,1.1471636295318604,-0.6419555544853210,-0.0150174517184496,0.1620970964431763,-0.1062720865011215,0.0535122789442539,0.7588677406311035,0.9611582756042480,0.0235708002001047,0.0018886253237724,-0.1109857335686684,-0.0399253293871880,-0.0157814398407936,0.0220392830669880,0.0987278297543526,0.1304841786623001,-0.0094495816156268,-0.0071419314481318,-0.0260384082794189,-0.0882167220115662,-0.0780398175120354,-0.1149442568421364,0.0086638228967786,-0.0271735526621342,-0.3722399473190308,0.4804246425628662,-0.4244997501373291,-0.1770620346069336,-0.0744670853018761,-0.0623394846916199,0.1261974275112152,0.0618346035480499,-0.0234142318367958,0.0010482990182936,-0.0503108836710453,-0.1066308021545410,-0.0327374711632729,-0.0120912706479430,-0.4307719469070435,-0.0733678117394447,-0.0331975407898426,0.0194416586309671,-0.4856353700160980,-0.0185095444321632,-0.0002261339832330,0.0140065150335431,0.4712994694709778,-0.5371831059455872,0.0214287955313921,0.0229032263159752,-0.0050560031086206,0.0165374167263508,0.0117345172911882,0.0172740854322910,0.0222766064107418,-0.0271659810096025,-0.0227413997054100,0.0482856482267380,-0.0377717688679695,-0.1039995104074478,-0.0183386597782373,-0.0688868314027786
interacts_with,-0.0268611535429955,-0.0677131786942482,0.9809601902961731,-0.4517484009265900,-0.1110460609197617,0.0802319347858429,-0.0110453795641661,0.0178622063249350,1.2687274217605591,-0.0396754294633865,0.1141003295779228,0.0251045897603035,-0.3444419801235199,-0.2134730964899063,0.5829842090606689,-0.0079661775380373,0.5743625760078430,-0.1383993774652481,-0.0477683804929256,0.0158071871846914,-0.2057791054248810,0.0626211091876030,-0.1286337077617645,0.0041821575723588,-0.0126467226073146,-0.0234119445085526,0.6298706531524658,-0.2296097576618195,-0.2101611793041229,-0.1218416169285774,0.2241079509258270,0.0976803749799728,-0.0564920119941235,0.0268031787127256,-0.0871222317218781,-0.0209607090801001,-0.0818617865443230,-0.0384097360074520,-0.1959086507558823,-0.0118920868262649,1.0343487262725830,0.0217313095927238,-0.0141543913632631,0.0365330837666988,0.0167440921068192,0.0142672071233392,-0.0449300147593021,0.0641717389225960,-0.0731607079505920,0.0380172692239285,-0.0419554039835930,0.4190736711025238,0.0702022537589073,0.0554737187922001,-0.0455949530005455,-0.0097131989896297,-0.1131605282425880,-0.0235241819173098,-0.0776906460523605,0.0699578598141670,-0.0425160676240921,0.0621817335486412,0.0390239059925079,0.0445666722953320
result_of,0.0380707830190659,0.2547654509544373,1.0707508325576782,0.0745119079947472,-0.0474350824952126,-0.0073155313730240,-0.3498350083827972,-0.1872500330209732,0.7797105312347412,0.0347615294158459,-0.0336459204554558,-0.0216668322682381,-0.0220882240682840,-0.0013539337087423,-0.0372980386018753,-0.0210928693413734,0.0503553301095963,-0.0822513028979301,-0.0335538797080517,0.0279083158820868,-0.0364284478127956,0.0160918515175581,-0.0215115714818239,-0.0072714327834547,0.0016277660615742,-0.0404961667954922,0.6467379331588745,-0.1189070940017700,-0.0154417725279927,0.0221245717257261,-0.5698794722557068,-0.5920315384864807,-0.0056395125575364,-0.0322218500077724,-0.0237376559525728,0.0486091673374176,-0.0129359615966678,-0.0052834837697446,-0.0291478354483843,0.0149381477385759,-0.4408311545848846,0.8705118894577026,-0.0176098402589560,0.0036298704799265,0.0146310208365321,-0.0081759309396148,0.0678921416401863,-0.3492628335952759,-0.2852166295051575,0.5172356367111206,-0.4021011888980865,0.1770457923412323,-0.0402896739542484,0.0148859135806561,-0.0428791418671608,0.0166687425225973,-0.0005965007003397,-0.0300050824880600,-0.0414643287658691,0.0073206964880228,-0.0386935472488403,-0.0507946982979774,-0.6224570870399475,0.0084720980376005
complicates,-0.0092538315802813,-0.0729781091213226,0.9950873255729675,-0.1974721550941467,0.0251131970435381,0.0174350012093782,-0.0384981967508793,0.0323868542909622,-0.4131106734275818,-0.2237721234560013,-0.0137242367491126,-0.0266471095383167,-0.4097028076648712,-0.1922606974840164,-0.0477766841650009,0.0055790194310248,0.2417033761739731,0.0332021676003933,-0.2374749183654785,-0.0152684459462762,-0.1486994624137878,-0.3731948137283325,-0.0014854337787256,0.0203097909688950,0.0046862349845469,0.0469687245786190,1.8099619150161743,-0.1059755459427834,-0.0230334755033255,0.0059246937744319,-0.0115238847211003,0.0039853756316006,-0.0465401038527489,-0.0836009532213211,-0.0465916655957699,-0.0091548347845674,-0.0053039561025798,0.0302654039114714,-0.0139610273763537,-0.0196485091000795,0.0329430736601353,-0.0810742452740669,-0.0028631070163101,0.0164747014641762,-0.1321614533662796,-0.1261955201625824,0.0084981322288513,0.0273111462593079,0.0825715959072113,-0.0493953227996826,0.0301091857254505,-0.5668537020683289,-0.0288572758436203,-0.0120557993650436,-0.0208780560642481,0.0033091928344220,-0.0338812060654163,-0.0085809649899602,-0.0786555707454681,0.0000979848264251,-0.0336731113493443,-0.0040939152240753,-0.0626540333032608,0.0539555661380291
occurs_in,-0.0959698483347893,-0.0367154963314533,1.3465515375137329,1.0382751226425171,0.3094142079353333,0.8739728927612305,0.0695070698857307,-0.4034327566623688,2.4327371120452881,0.1442236602306366,-0.1411250829696655,0.2388226091861725,0.1062009707093239,0.2231868654489517,0.0375695936381817,-0.0321951620280743,-0.4823432862758636,0.2490757256746292,-0.2882928550243378,0.3531169593334198,-0.0193565785884857,-0.0012125151697546,-0.0280578937381506,0.1126335188746452,-0.1421044468879700,-0.4956946671009064,-1.3671932220458984,-4.4789438247680664,-0.1046203002333641,0.0284209847450256,-0.0182167943567038,-0.1048539057374001,-0.2564741075038910,-0.1283381134271622,-0.0503826513886452,0.1211841553449631,0.0448017418384552,-0.1708323061466217,0.0367090739309788,0.0024512002710253,2.5938048362731934,0.9985339045524597,0.0277759879827499,0.0309232622385025,-0.0766917243599892,-0.0922751054167747,0.0431294478476048,-0.0356559529900551,0.1175131499767303,-0.0754031836986542,-0.0236964691430330,0.1746739298105240,0.0314248800277710,-0.0587533079087734,0.0128407934680581,0.0447471290826797,0.0673263147473335,0.0393262207508087,-0.0193685870617628,-0.0199759881943464,0.0201332867145538,-0.0334811396896839,-0.2368938922882080,-0.0157897230237722
uses,-0.0341190621256828,0.1355249136686325,0.9281557798385620,-0.1144198775291443,-0.2477956861257553,-0.0761164277791977,-0.0320486985146999,0.1361082345247269,-1.7714387178421021,1.7280890941619873,0.9829329252243042,-0.1359010338783264,0.0142752015963197,0.1629495471715927,-0.0988739877939224,-0.1616040915250778,0.2478879243135452,-0.4329276680946350,0.6240178942680359,0.5134574174880981,-0.2465089559555054,-0.0079570058733225,0.0069658388383687,0.0170268695801497,-0.0554562918841839,-0.0834246203303337,0.3063371777534485,-1.1167181730270386,0.1815208941698074,-0.0931336134672165,-0.0757758319377899,0.1242659837007523,0.1254538446664810,-0.1504507809877396,-0.0034595006145537,0.0481923632323742,0.2593514025211334,0.0371964909136295,0.0958425402641296,0.0655147358775139,1.2030745744705200,-0.1699877977371216,-0.0538739860057831,-0.1338541209697723,0.1272676438093185,-0.0050437059253454,-0.0962678864598274,-0.0801274999976158,-0.1276074647903442,-0.1484200209379196,-0.2298862785100937,0.6671719551086426,0.0219942871481180,-0.2352940440177917,0.0459498502314091,-0.1028768271207809,0.3241486847400665,0.4507845342159271,-0.1317734271287918,0.0079417293891311,-0.0324303060770035,0.2863125205039978,0.0481761284172535,-0.2055985629558563
