,relation
0,associated_with
1,conceptual_part_of
2,disrupts
3,interacts_with
4,issue_in
5,surrounds
6,performs
7,co-occurs_with
8,derivative_of
9,part_of
10,affects
11,measurement_of
12,complicates
13,produces
14,degree_of
15,contains
16,evaluation_of
17,process_of
18,method_of
19,result_of
20,interconnects
21,occurs_in
22,manifestation_of
23,measures
24,property_of
25,exhibits
26,uses
27,isa
28,assesses_effect_of
29,carries_out
30,conceptually_related_to
31,consists_of
32,indicates
33,causes
34,precedes
35,location_of
36,adjacent_to
37,analyzes
38,prevents
39,ingredient_of
40,connected_to
41,diagnoses
42,manages
43,developmental_form_of
44,practices
45,treats
