,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,location_of
7,part_of
8,causes
9,affects
10,interacts_with
11,result_of
12,contains
13,co-occurs_with
14,measurement_of
15,measures
16,indicates
17,issue_in
18,diagnoses
19,conceptual_part_of
20,complicates
21,evaluation_of
22,occurs_in
23,method_of
24,associated_with
25,degree_of
26,precedes
27,ingredient_of
28,manifestation_of
29,analyzes
30,carries_out
31,treats
32,assesses_effect_of
33,developmental_form_of
34,uses
35,surrounds
36,prevents
37,exhibits
38,practices
39,connected_to
40,manages
41,interconnects
42,adjacent_to
43,conceptually_related_to
44,derivative_of
45,consists_of
