,entity
0,plant
1,body_substance
2,reptile
3,anatomical_structure
4,immunologic_factor
5,neoplastic_process
6,disease_or_syndrome
7,enzyme
8,organ_or_tissue_function
9,health_care_activity
10,congenital_abnormality
11,molecular_biology_research_technique
12,therapeutic_or_preventive_procedure
13,professional_or_occupational_group
14,experimental_model_of_disease
15,behavior
16,intellectual_product
17,organism_function
18,temporal_concept
19,receptor
20,organic_chemical
21,organophosphorus_compound
22,group_attribute
23,indicator_reagent_or_diagnostic_aid
24,element_ion_or_isotope
25,body_part_organ_or_organ_component
26,population_group
27,mental_process
28,pharmacologic_substance
29,cell_or_molecular_dysfunction
30,hazardous_or_poisonous_substance
31,embryonic_structure
32,chemical_viewed_functionally
33,laboratory_procedure
34,genetic_function
35,biologically_active_substance
36,tissue
37,food
38,physiologic_function
39,laboratory_or_test_result
40,nucleic_acid_nucleoside_or_nucleotide
41,anatomical_abnormality
42,sign_or_symptom
43,human
44,carbohydrate
45,cell_function
46,biomedical_or_dental_material
47,daily_or_recreational_activity
48,conceptual_entity
49,biologic_function
50,mental_or_behavioral_dysfunction
51,age_group
52,hormone
53,quantitative_concept
54,research_activity
55,amino_acid_peptide_or_protein
56,molecular_function
57,family_group
58,clinical_attribute
59,vertebrate
60,body_space_or_junction
61,inorganic_chemical
62,acquired_abnormality
63,self_help_or_relief_organization
64,patient_or_disabled_group
65,pathologic_function
66,antibiotic
67,cell
68,cell_component
69,health_care_related_organization
70,injury_or_poisoning
71,chemical_viewed_structurally
72,bacterium
73,vitamin
74,amino_acid_sequence
75,body_location_or_region
76,finding
77,gene_or_genome
78,organism_attribute
79,research_device
80,virus
81,drug_delivery_device
82,diagnostic_procedure
83,neuroreactive_substance_or_biogenic_amine
84,chemical
85,fish
86,invertebrate
87,governmental_or_regulatory_activity
88,fungus
89,human_caused_phenomenon_or_process
90,phenomenon_or_process
91,mammal
92,natural_phenomenon_or_process
93,clinical_drug
94,group
95,individual_behavior
96,bird
97,medical_device
98,organization
99,qualitative_concept
100,amphibian
101,nucleotide_sequence
102,steroid
103,professional_society
104,molecular_sequence
105,alga
106,rickettsia_or_chlamydia
107,environmental_effect_of_humans
108,lipid
109,manufactured_object
110,fully_formed_anatomical_structure
111,educational_activity
112,eicosanoid
113,animal
114,geographic_area
115,machine_activity
116,regulation_or_law
117,carbohydrate_sequence
118,body_system
119,language
120,occupational_activity
121,substance
122,biomedical_occupation_or_discipline
123,spatial_concept
124,social_behavior
125,archaeon
126,occupation_or_discipline
127,functional_concept
128,idea_or_concept
129,event
130,entity
131,activity
132,classification
133,physical_object
134,organism
