,relation
0,interacts_with
1,isa
2,property_of
3,part_of
4,affects
5,process_of
6,causes
7,precedes
8,associated_with
9,measures
10,uses
11,complicates
12,occurs_in
13,conceptual_part_of
14,carries_out
15,issue_in
16,produces
17,co-occurs_with
18,developmental_form_of
19,performs
20,result_of
21,location_of
22,measurement_of
23,evaluation_of
24,manifestation_of
25,method_of
26,disrupts
27,ingredient_of
28,assesses_effect_of
29,degree_of
30,treats
31,diagnoses
32,indicates
33,prevents
34,consists_of
35,practices
36,exhibits
37,analyzes
38,contains
39,adjacent_to
40,surrounds
41,connected_to
42,manages
43,conceptually_related_to
44,derivative_of
45,interconnects
