,relation
0,produces
1,exhibits
2,measurement_of
3,affects
4,process_of
5,issue_in
6,assesses_effect_of
7,interacts_with
8,result_of
9,surrounds
10,carries_out
11,complicates
12,precedes
13,analyzes
14,prevents
15,performs
16,co-occurs_with
17,associated_with
18,measures
19,manifestation_of
20,location_of
21,disrupts
22,indicates
23,isa
24,ingredient_of
25,causes
26,contains
27,degree_of
28,part_of
29,uses
30,evaluation_of
31,connected_to
32,diagnoses
33,property_of
34,treats
35,method_of
36,conceptual_part_of
37,occurs_in
38,manages
39,consists_of
40,developmental_form_of
41,adjacent_to
42,interconnects
43,conceptually_related_to
44,derivative_of
45,practices
