,relation
0,location_of
1,affects
2,diagnoses
3,interacts_with
4,isa
5,part_of
6,process_of
7,causes
8,precedes
9,associated_with
10,measures
11,uses
12,complicates
13,occurs_in
14,conceptual_part_of
15,result_of
16,property_of
17,issue_in
18,produces
19,co-occurs_with
20,developmental_form_of
21,carries_out
22,performs
23,measurement_of
24,evaluation_of
25,manifestation_of
26,conceptually_related_to
27,manages
28,disrupts
29,ingredient_of
30,assesses_effect_of
31,degree_of
32,treats
33,prevents
34,indicates
35,consists_of
36,connected_to
37,practices
38,contains
39,method_of
40,analyzes
41,derivative_of
42,exhibits
43,surrounds
44,adjacent_to
45,interconnects
