,entity
0,invertebrate
1,biologic_function
2,mental_or_behavioral_dysfunction
3,congenital_abnormality
4,biomedical_or_dental_material
5,virus
6,molecular_function
7,organic_chemical
8,animal
9,organism_function
10,carbohydrate
11,eicosanoid
12,family_group
13,anatomical_abnormality
14,nucleic_acid_nucleoside_or_nucleotide
15,hazardous_or_poisonous_substance
16,neoplastic_process
17,steroid
18,self_help_or_relief_organization
19,laboratory_procedure
20,food
21,lipid
22,antibiotic
23,experimental_model_of_disease
24,disease_or_syndrome
25,pathologic_function
26,gene_or_genome
27,bacterium
28,cell_or_molecular_dysfunction
29,vitamin
30,pharmacologic_substance
31,fish
32,biologically_active_substance
33,enzyme
34,mental_process
35,drug_delivery_device
36,organophosphorus_compound
37,organ_or_tissue_function
38,environmental_effect_of_humans
39,cell
40,body_substance
41,health_care_related_organization
42,alga
43,amino_acid_peptide_or_protein
44,acquired_abnormality
45,clinical_attribute
46,bird
47,sign_or_symptom
48,immunologic_factor
49,entity
50,amphibian
51,embryonic_structure
52,genetic_function
53,chemical
54,hormone
55,body_space_or_junction
56,intellectual_product
57,neuroreactive_substance_or_biogenic_amine
58,anatomical_structure
59,natural_phenomenon_or_process
60,health_care_activity
61,rickettsia_or_chlamydia
62,population_group
63,fully_formed_anatomical_structure
64,finding
65,organism_attribute
66,qualitative_concept
67,physiologic_function
68,indicator_reagent_or_diagnostic_aid
69,professional_or_occupational_group
70,molecular_sequence
71,medical_device
72,group_attribute
73,research_activity
74,laboratory_or_test_result
75,social_behavior
76,receptor
77,inorganic_chemical
78,cell_component
79,organism
80,regulation_or_law
81,chemical_viewed_structurally
82,idea_or_concept
83,injury_or_poisoning
84,tissue
85,diagnostic_procedure
86,behavior
87,clinical_drug
88,age_group
89,cell_function
90,human
91,molecular_biology_research_technique
92,fungus
93,individual_behavior
94,quantitative_concept
95,temporal_concept
96,professional_society
97,body_location_or_region
98,geographic_area
99,therapeutic_or_preventive_procedure
100,phenomenon_or_process
101,organization
102,element_ion_or_isotope
103,human_caused_phenomenon_or_process
104,occupational_activity
105,research_device
106,body_part_organ_or_organ_component
107,vertebrate
108,chemical_viewed_functionally
109,educational_activity
110,patient_or_disabled_group
111,plant
112,governmental_or_regulatory_activity
113,conceptual_entity
114,substance
115,activity
116,reptile
117,group
118,event
119,mammal
120,occupation_or_discipline
121,body_system
122,manufactured_object
123,functional_concept
124,nucleotide_sequence
125,spatial_concept
126,classification
127,language
128,machine_activity
129,physical_object
130,archaeon
131,amino_acid_sequence
132,daily_or_recreational_activity
133,biomedical_occupation_or_discipline
134,carbohydrate_sequence
