,relation
0,isa
1,produces
2,co-occurs_with
3,affects
4,interacts_with
5,location_of
6,process_of
7,causes
8,ingredient_of
9,result_of
10,part_of
11,complicates
12,carries_out
13,associated_with
14,disrupts
15,manifestation_of
16,diagnoses
17,measures
18,occurs_in
19,property_of
20,issue_in
21,prevents
22,performs
23,assesses_effect_of
24,adjacent_to
25,measurement_of
26,precedes
27,indicates
28,contains
29,degree_of
30,uses
31,evaluation_of
32,treats
33,method_of
34,connected_to
35,conceptual_part_of
36,interconnects
37,derivative_of
38,developmental_form_of
39,consists_of
40,manages
41,surrounds
42,exhibits
43,analyzes
44,conceptually_related_to
45,practices
