,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,location_of
7,part_of
8,causes
9,result_of
10,affects
11,interacts_with
12,contains
13,co-occurs_with
14,measurement_of
15,measures
16,indicates
17,issue_in
18,diagnoses
19,conceptual_part_of
20,complicates
21,evaluation_of
22,occurs_in
23,method_of
24,associated_with
25,degree_of
26,precedes
27,ingredient_of
28,manifestation_of
29,analyzes
30,carries_out
31,interconnects
32,assesses_effect_of
33,manages
34,derivative_of
35,exhibits
36,uses
37,surrounds
38,prevents
39,adjacent_to
40,treats
41,practices
42,consists_of
43,connected_to
44,developmental_form_of
45,conceptually_related_to
