,relation
0,issue_in
1,disrupts
2,affects
3,isa
4,location_of
5,process_of
6,connected_to
7,precedes
8,associated_with
9,treats
10,property_of
11,uses
12,result_of
13,interacts_with
14,produces
15,evaluation_of
16,causes
17,measures
18,consists_of
19,complicates
20,part_of
21,measurement_of
22,carries_out
23,contains
24,performs
25,method_of
26,surrounds
27,interconnects
28,analyzes
29,diagnoses
30,manifestation_of
31,exhibits
32,co-occurs_with
33,ingredient_of
34,occurs_in
35,prevents
36,assesses_effect_of
37,indicates
38,degree_of
39,derivative_of
40,conceptual_part_of
41,manages
42,developmental_form_of
43,conceptually_related_to
44,adjacent_to
45,practices
