,relation
0,issue_in
1,interacts_with
2,associated_with
3,complicates
4,process_of
5,treats
6,affects
7,isa
8,result_of
9,property_of
10,performs
11,part_of
12,causes
13,produces
14,evaluation_of
15,co-occurs_with
16,measures
17,disrupts
18,occurs_in
19,uses
20,analyzes
21,diagnoses
22,manifestation_of
23,manages
24,contains
25,precedes
26,location_of
27,exhibits
28,method_of
29,measurement_of
30,assesses_effect_of
31,degree_of
32,prevents
33,carries_out
34,adjacent_to
35,indicates
36,connected_to
37,ingredient_of
38,conceptual_part_of
39,surrounds
40,interconnects
41,developmental_form_of
42,consists_of
43,conceptually_related_to
44,practices
45,derivative_of
