,entity
0,organophosphorus_compound
1,gene_or_genome
2,research_activity
3,food
4,individual_behavior
5,indicator_reagent_or_diagnostic_aid
6,laboratory_procedure
7,mental_process
8,genetic_function
9,hazardous_or_poisonous_substance
10,cell_or_molecular_dysfunction
11,neuroreactive_substance_or_biogenic_amine
12,cell_component
13,body_system
14,nucleic_acid_nucleoside_or_nucleotide
15,social_behavior
16,experimental_model_of_disease
17,enzyme
18,acquired_abnormality
19,cell
20,disease_or_syndrome
21,molecular_function
22,anatomical_abnormality
23,environmental_effect_of_humans
24,injury_or_poisoning
25,organic_chemical
26,group_attribute
27,vitamin
28,anatomical_structure
29,behavior
30,bacterium
31,clinical_attribute
32,age_group
33,steroid
34,geographic_area
35,organism_function
36,body_space_or_junction
37,molecular_biology_research_technique
38,receptor
39,immunologic_factor
40,eicosanoid
41,phenomenon_or_process
42,hormone
43,occupation_or_discipline
44,manufactured_object
45,lipid
46,diagnostic_procedure
47,laboratory_or_test_result
48,antibiotic
49,invertebrate
50,sign_or_symptom
51,chemical_viewed_structurally
52,mental_or_behavioral_dysfunction
53,pathologic_function
54,neoplastic_process
55,self_help_or_relief_organization
56,animal
57,cell_function
58,congenital_abnormality
59,carbohydrate
60,substance
61,reptile
62,plant
63,medical_device
64,patient_or_disabled_group
65,inorganic_chemical
66,biologic_function
67,physiologic_function
68,therapeutic_or_preventive_procedure
69,qualitative_concept
70,chemical_viewed_functionally
71,pharmacologic_substance
72,organization
73,organism_attribute
74,conceptual_entity
75,professional_society
76,natural_phenomenon_or_process
77,machine_activity
78,health_care_activity
79,organ_or_tissue_function
80,population_group
81,biomedical_or_dental_material
82,virus
83,governmental_or_regulatory_activity
84,mammal
85,rickettsia_or_chlamydia
86,embryonic_structure
87,finding
88,body_location_or_region
89,fully_formed_anatomical_structure
90,occupational_activity
91,carbohydrate_sequence
92,amphibian
93,health_care_related_organization
94,tissue
95,body_substance
96,biologically_active_substance
97,human_caused_phenomenon_or_process
98,element_ion_or_isotope
99,molecular_sequence
100,archaeon
101,group
102,body_part_organ_or_organ_component
103,human
104,amino_acid_sequence
105,professional_or_occupational_group
106,amino_acid_peptide_or_protein
107,regulation_or_law
108,family_group
109,intellectual_product
110,research_device
111,biomedical_occupation_or_discipline
112,entity
113,temporal_concept
114,daily_or_recreational_activity
115,fungus
116,classification
117,spatial_concept
118,nucleotide_sequence
119,clinical_drug
120,bird
121,drug_delivery_device
122,language
123,quantitative_concept
124,alga
125,idea_or_concept
126,chemical
127,educational_activity
128,vertebrate
129,activity
130,event
131,fish
132,physical_object
133,organism
134,functional_concept
