,relation
0,affects
1,produces
2,process_of
3,issue_in
4,assesses_effect_of
5,interacts_with
6,result_of
7,associated_with
8,carries_out
9,complicates
10,precedes
11,causes
12,prevents
13,performs
14,co-occurs_with
15,measures
16,manifestation_of
17,location_of
18,disrupts
19,indicates
20,isa
21,ingredient_of
22,contains
23,interconnects
24,degree_of
25,part_of
26,exhibits
27,uses
28,analyzes
29,method_of
30,surrounds
31,evaluation_of
32,measurement_of
33,diagnoses
34,property_of
35,treats
36,connected_to
37,conceptual_part_of
38,derivative_of
39,occurs_in
40,conceptually_related_to
41,practices
42,manages
43,consists_of
44,developmental_form_of
45,adjacent_to
