,relation
0,causes
1,location_of
2,measures
3,affects
4,manifestation_of
5,co-occurs_with
6,isa
7,disrupts
8,produces
9,issue_in
10,associated_with
11,interacts_with
12,conceptually_related_to
13,part_of
14,process_of
15,result_of
16,property_of
17,assesses_effect_of
18,uses
19,measurement_of
20,complicates
21,manages
22,ingredient_of
23,exhibits
24,occurs_in
25,surrounds
26,analyzes
27,evaluation_of
28,performs
29,diagnoses
30,carries_out
31,prevents
32,precedes
33,treats
34,contains
35,connected_to
36,method_of
37,conceptual_part_of
38,degree_of
39,consists_of
40,adjacent_to
41,developmental_form_of
42,interconnects
43,indicates
44,derivative_of
45,practices
